sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Oleic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Nickel (200)";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"";"100";"25 – 275";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Nickel Cast Iron (15-35Ni)";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"25 – 325";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Nickel-Copper (400)";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"";"100";"25 – 475";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Ni-Cr-Fe Alloy (600/ 690)";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"25 – 475";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Ni-Mo Alloy (Ni-30Mo; B-2)";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"25 – 475";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Silicon Cast Iron (14Si)";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"52 – 687";"<2";"with sulfuric acid";"218,220";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Silver";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"25 – 475";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Steels, Carbon/ Low Alloy";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"25 – 275";"20 – 50";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Steels, Carbon/ Low Alloy";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"275 – 325";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Superferritic Stainless Steel (26-1)";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"25 – 475";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Tantalum";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"25 – 475";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Titanium, Unalloyed";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"25 – 75";"<2";"";"173,219";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Titanium, Unalloyed";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"302";"<2";"";"173,219";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
