sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Fluorine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Steels, Carbon/ Low Alloy";"fluorine";"gas";"7782-41-4";"F2";"100";"25 – 375";"<2";"51,129,214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Steels, Carbon/ Low Alloy";"fluorine";"gas";"7782-41-4";"F2";"100";"375 – 500";"<20";"51,129,214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Tantalum";"fluorine";"gas";"7782-41-4";"F2";"100";"25 – 75";">50";"51,129,214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Titanium, Unalloyed";"fluorine";"gas";"7782-41-4";"F2";"100";"0 – 68";"<2";"51,129,174,214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Titanium, Unalloyed";"fluorine";"gas";"7782-41-4";"F2";"100";"68 – 275";">50";"51,129,174,214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Zirconium";"fluorine";"gas";"7782-41-4";"F2";"100";"25 – 75";"<20";"51,129,214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Zirconium";"fluorine";"gas";"7782-41-4";"F2";"100";"275 – 325";">50";"51,129,214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Alloy 20-25-4Mo (904L)";"fluorine";"liquid";"7782-41-4";"F2";"100";"0 – 75";"20 – 50";"51,129,174,214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"fluorine";"liquid";"7782-41-4";"F2";"100";"25 – 75";"<2";"51,129,214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Alloy 30-44-5-3W (G-30)";"fluorine";"liquid";"7782-41-4";"F2";"100";"25 – 75";"<2";"51,129,214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Aluminum Alloy (3003/ 5154)";"fluorine";"liquid";"7782-41-4";"F2";"100";"25 – 75";"<2";"51,129,214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"fluorine";"liquid";"7782-41-4";"F2";"100";"25 – 75";"<2";"51,129,214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"fluorine";"liquid";"7782-41-4";"F2";"100";"25 – 75";"<2";"51,129,214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Copper/ Bronze/ Low Brass";"fluorine";"liquid";"7782-41-4";"F2";"100";"25 – 75";"<2";"51,129,214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
