sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Dioxane";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Fluororubber";"";"dioxane";"ethers";"3";"not recommended; weight gain";"100";"70 – 150";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"dioxane";"ethers";"1";"recommended";"100";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Glass, Chemical";"";"dioxane";"ethers";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Nylon";"";"dioxane";"ethers";"1";"recommended";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Perfluoroalkoxy Resins";"";"dioxane";"ethers";"1";"recommended; weight gain; strength loss; steady state reached in one week exposure";"100";"32 – 212";"<1";"";"1, 22";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Polychloroprene";"";"dioxane";"ethers";"3";"not recommended; weight gain ";"100";"70 – 160";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Polychloroprene";"";"dioxane";"ethers";"3";"not recommended; disintegrated";"100";"160 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Polyethylene (PE)";"";"dioxane";"ethers";"3";"not recommended";"100";"70 – 90";"<1";"plasticizer";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Polyethylene (PE)";"";"dioxane";"ethers";"3";"not recommended; weight gain, ";"100";"90 – 150";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Polymethyl Methacrylate (PMMA)";"";"dioxane";"ethers";"3";"not recommended; may dissolve";"100";"70 – 150";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"dioxane";"ethers";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Polyphenylene Sulfide, Glass Fiber-Reinforced";"Ryton PPS R-4";"dioxane";"ethers";"2";"questionable; weight change, attacked";"100";"200";"<6";"";"18";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Polypropylene (PP)";"";"dioxane";"ethers";"1";"recommended; weight gain";"100";"70 – 80";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Polypropylene (PP)";"";"dioxane";"ethers";"2";"questionable";"100";"80 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Polypropylene (PP)";"";"dioxane";"ethers";"3";"not recommended";"100";"125 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Polyvinyl Chloride (PVC)";"";"dioxane";"ethers";"3";"not recommended; disintegrated ";"100";"70 – 160";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Polyvinyl Chloride (PVC)";"";"dioxane";"ethers";"3";"not recommended; disintegrated ";"100";"160 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Polyvinylidene Fluoride (PVDF)";"Kynar";"dioxane";"ethers";"2";"questionable";"100";"60 – 70";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Polyvinylidene Fluoride (PVDF)";"";"dioxane";"ethers";"3";"not recommended";"100";"70 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Rubber, Butyl (BR)";"";"dioxane";"ethers";"3";"not recommended; weight gain";"100";"70 – 175";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Rubber, Natural (NR)";"";"dioxane";"ethers";"3";"not recommended; weight gain ";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Styrene Acrylonitrile Copolymer (SAN)";"";"dioxane";"ethers";"3";"not recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Wood";"";"dioxane";"ethers";"2";"questionable";"100";"60 – 70";"";"permeable";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
