sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hydrogen peroxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"33";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";"<50";"250";"[>12]";"";"1, 10, 22";"";"";"";"";"";"";"";"";"";"";""
"34";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended; steady state reached in one week exposure";"30";"60 – 70";"[";"";"1, 10, 22";"";"";"";"";"";"";"";"";"";"";""
"35";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";">20";"70 – 150";"";"cyclic immersion; immersed";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"36";"Fluororubber";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";"10 – 20";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"37";"Fluororubber";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";"10 – 30";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"38";"Fluororubber";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"3";"not recommended; swollen";"30";"150 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"39";"Fluororubber";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";"90";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"40";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"3";"not recommended";"10 – 30";"70 – 150";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"41";"Glass, Chemical";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended; not for storage containers";"10 – 30";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"42";"Glass, Chemical";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";"30";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"43";"Glass, Chemical";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";"30";"125 – 212";"";"reaction piping 21-100°C (70-212°F)";"1";"";"";"";"";"";"";"";"";"";"";""
"44";"Nylon";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"3";"not recommended";"3";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"45";"Nylon";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"3";"not recommended; weight gain";"30";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"46";"Nylon";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"3";"not recommended; disintegrated";"30";"150 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"47";"Perfluoroalkoxy Resins";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended; strength loss";"30";"60 – 70";"<1";"";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"48";"Phenolic Resins, Asbestos-Reinforced";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"3";"not recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"49";"Polychloroprene";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";"10 – 20";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"50";"Polychloroprene";"";"hydrogen peroxide";"";"7722-84-1";"H2O2";"oxidizing agents";"1";"recommended";"10 – 30";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
