sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Butyl stearate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Nickel (200)";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Nickel Cast Iron (15-35Ni)";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Nickel-Copper (400)";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Ni-Cr-Fe Alloy (600/ 690)";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Ni-Mo Alloy (Ni-30Mo; B-2)";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Silicon Cast Iron (14Si)";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 237";"<20";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Silver";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Steels, Carbon/ Low Alloy";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Superferritic Stainless Steel (26-1)";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Tantalum";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Titanium, Unalloyed";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Zirconium";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
