sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Acrolein";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Ni-Cr-Fe Alloy (600/ 690)";"acrolein";"2-propenal";"107-02-8";"C3H4O";"aldehydes";"";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Ni-Mo Alloy (Ni-30Mo; B-2)";"acrolein";"2-propenal";"107-02-8";"C3H4O";"aldehydes";"";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Silicon Cast Iron (14Si)";"acrolein";"2-propenal";"107-02-8";"C3H4O";"aldehydes";"";"5 – 15";"52 – 147";"<20";"no air, oxygen";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Silicon Cast Iron (14Si)";"acrolein";"2-propenal";"107-02-8";"C3H4O";"aldehydes";"";"100";"52 – 237";"<20";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Silver";"acrolein";"2-propenal";"107-02-8";"C3H4O";"aldehydes";"";"5 – 35";"25 – 75";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Silver";"acrolein";"2-propenal";"107-02-8";"C3H4O";"aldehydes";"";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Steels, Carbon/ Low Alloy";"acrolein";"2-propenal";"107-02-8";"C3H4O";"aldehydes";"";"5 – 15";"25 – 125";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Steels, Carbon/ Low Alloy";"acrolein";"2-propenal";"107-02-8";"C3H4O";"aldehydes";"";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Tantalum";"acrolein";"2-propenal";"107-02-8";"C3H4O";"aldehydes";"";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Titanium, Unalloyed";"acrolein";"2-propenal";"107-02-8";"C3H4O";"aldehydes";"";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Zirconium";"acrolein";"2-propenal";"107-02-8";"C3H4O";"aldehydes";"";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
