sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Perchloroethylene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"25 – 275";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"25 – 275";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Nickel (200)";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"25 – 425";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Nickel Cast Iron (15-35Ni)";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Nickel Cast Iron (15-35Ni)";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"75 – 475";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Nickel-Copper (400)";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"25 – 425";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Ni-Cr-Fe Alloy (600/ 690)";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"25 – 425";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Ni-Mo Alloy (Ni-30Mo; B-2)";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Silicon Cast Iron (14Si)";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"52 – 237";"<20";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Silver";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Steels, Carbon/ Low Alloy";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"25 – 475";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Superferritic Stainless Steel (26-1)";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Superferritic Stainless Steel (26-1)";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"75 – 475";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Titanium, Unalloyed";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"stress corrosion cracking";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Zirconium";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
