sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ferric sulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 35";"125 – 175";"<20";"48,136,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Nickel (200)";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 15";"25 – 75";"20 – 50";"48,136,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Nickel Cast Iron (15-35Ni)";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 15";"25 – 75";">50";"48,136,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Nickel-Copper (400)";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 15";"25 – 75";">50";"48,136,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Ni-Cr-Fe Alloy (600/ 690)";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 15";"25 – 75";"<2";"48,136,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Ni-Mo Alloy (Ni-30Mo; B-2)";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 15";"25 – 75";"20 – 50";"48,136,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Niobium (Columbium)";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"<60";"0 – 212";"<2";"48,136,207,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Silicon Cast Iron (14Si)";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 15";"100 – 237";"<20";"48,136,207,218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Silicon Cast Iron (14Si)";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 25";"52 – 100";"<2";"48,136,207,218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Silicon Cast Iron (14Si)";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"100";"52 – 237";"<20";"48,136,207,218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Silver";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 15";"25 – 75";">50";"48,136,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Steels, Carbon/ Low Alloy";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 15";"25 – 75";">50";"48,136,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Tantalum";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 15";"25 – 225";"<2";"48,136,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Tantalum";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 35";"25 – 75";"<2";"48,136,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Titanium, Unalloyed";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 35";"25 – 75";"<2";"48,136,181,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Titanium, Unalloyed";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"10";"0 – 212";"<2";"48,136,181,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Titanium, Unalloyed";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"85 – 95";"25 – 225";"<2";"48,136,181,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
