sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium persulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Nickel-Copper (400)";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"5 – 35";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Ni-Cr-Fe Alloy (600/ 690)";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"5 – 35";"75 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Ni-Cr-Fe Alloy (600/ 690)";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";">5";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Silicon Cast Iron (14Si)";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"5 – 35";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Silicon Cast Iron (14Si)";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Silver";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"5 – 15";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Silver";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"25 – 35";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Silver";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"45 – 55";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Silver";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"65 – 75";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Silver";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"100";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Steels, Carbon/ Low Alloy";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"5 – 35";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Steels, Carbon/ Low Alloy";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Tantalum";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"5 – 45";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Tantalum";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"45 – 65";"75 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
