sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Aniline";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Nickel (200)";"aniline";"benzenamine";"62-53-3";"C6H7N";"amines";"severe corrosion with oxygen ingress";"";"100";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Nickel Cast Iron (15-35Ni)";"aniline";"benzenamine";"62-53-3";"C6H7N";"amines";"";"";"100";"25 – 375";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Nickel-Copper (400)";"aniline";"benzenamine";"62-53-3";"C6H7N";"amines";"severe corrosion with oxygen ingress";"";"100";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Ni-Cr-Fe Alloy (600/ 690)";"aniline";"benzenamine";"62-53-3";"C6H7N";"amines";"";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Ni-Mo Alloy (Ni-30Mo; B-2)";"aniline";"benzenamine";"62-53-3";"C6H7N";"amines";"";"";"100";"325 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Niobium (Columbium)";"aniline";"benzenamine";"62-53-3";"C6H7N";"amines";"";"";"100";"0 – 212";"<2";"220";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Silicon Cast Iron (14Si)";"aniline";"benzenamine";"62-53-3";"C6H7N";"amines";"";"";"5 – 15";"52 – 102";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Silicon Cast Iron (14Si)";"aniline";"benzenamine";"62-53-3";"C6H7N";"amines";"";"";"5 – 15";"102 – 192";"<20";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Silicon Cast Iron (14Si)";"aniline";"benzenamine";"62-53-3";"C6H7N";"amines";"";"";"100";"52 – 102";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Silicon Cast Iron (14Si)";"aniline";"benzenamine";"62-53-3";"C6H7N";"amines";"";"";"100";"102 – 192";"<20";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Silicon Cast Iron (14Si)";"aniline";"benzenamine";"62-53-3";"C6H7N";"amines";"";"";"100";"322 – 372";"<20";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Silver";"aniline";"benzenamine";"62-53-3";"C6H7N";"amines";"";"";"5 – 15";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Silver";"aniline";"benzenamine";"62-53-3";"C6H7N";"amines";"";"";"100";"25 – 375";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Steels, Carbon/ Low Alloy";"aniline";"benzenamine";"62-53-3";"C6H7N";"amines";"";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Tantalum";"aniline";"benzenamine";"62-53-3";"C6H7N";"amines";"";"";"5 – 15";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Tantalum";"aniline";"benzenamine";"62-53-3";"C6H7N";"amines";"";"";"100";"25 – 375";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Titanium, Unalloyed";"aniline";"benzenamine";"62-53-3";"C6H7N";"amines";"";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Zirconium";"aniline";"benzenamine";"62-53-3";"C6H7N";"amines";"";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
