sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ethyl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Brass (>15Zn)";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"25 – 475";"<2";"";"45,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cast Iron, Gray/ Ductile";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"25 – 475";"<2";"";"45,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Copper/ Bronze/ Low Brass";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"25 – 475";"<2";"";"45,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cr Stainless Steel (12Cr)";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"25 – 475";"<2";"";"45,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cr Stainless Steel (17Cr)";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"25 – 475";"<2";"";"45,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Duplex Stainless Steel (25-6-3)";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"54";"<2";"boiling point";"45,173,210,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Gold/ Platinum";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"25 – 475";"<2";"";"45,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Lead";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"25 – 475";"<2";"";"45,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"25 – 475";"<2";"";"45,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"25 – 475";"<2";"";"45,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
