sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Potassium bromide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"75 – 225";"<20";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"25 – 75";"<2";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"75 – 225";"<20";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"25 – 75";"<2";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"75 – 225";"<20";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"25 – 75";"<2";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"75 – 225";"<20";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Nickel (200)";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"25 – 225";"<20";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Nickel-Copper (400)";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"25 – 225";"<20";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Ni-Cr-Fe Alloy (600/ 690)";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"25 – 225";"<20";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Ni-Mo Alloy (Ni-30Mo; B-2)";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"25 – 75";"<2";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Ni-Mo Alloy (Ni-30Mo; B-2)";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"75 – 225";"<20";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Silicon Cast Iron (14Si)";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"52 – 237";"<20";"77,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Silver";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"25 – 225";"<20";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Steels, Carbon/ Low Alloy";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"25 – 225";"20 – 50";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Tantalum";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"25 – 225";"<2";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Titanium, Unalloyed";"potassium bromide";"7758-02-03";"BrK";"salts";"";"<40";"68";"<2";"77,190,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Titanium, Unalloyed";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"25 – 225";"<2";"77,190,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Zirconium";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"25 – 225";"<2";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
