sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium carbonate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"ammonium carbonate";"";"506-87-6";"CH8N2O3";"salts";"1";"recommended";"50";"70 – 250";">12";"1";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Nylon";"";"ammonium carbonate";"";"506-87-6";"CH8N2O3";"salts";"1";"recommended";"10";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Polychloroprene";"";"ammonium carbonate";"";"506-87-6";"CH8N2O3";"salts";"1";"recommended";"10 – 90";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Polyesters, Glass Fiber-Reinforced";"";"ammonium carbonate";"";"506-87-6";"CH8N2O3";"salts";"1";"recommended";"10";"60 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Polyesters, Glass Fiber-Reinforced";"";"ammonium carbonate";"";"506-87-6";"CH8N2O3";"salts";"3";"not recommended";"10";"125 – 175";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Polyesters, Glass Fiber-Reinforced";"";"ammonium carbonate";"";"506-87-6";"CH8N2O3";"salts";"1";"recommended";">10";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Polyethylene (PE)";"";"ammonium carbonate";"";"506-87-6";"CH8N2O3";"salts";"1";"recommended";"100";"70 – 150";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"ammonium carbonate";"";"506-87-6";"CH8N2O3";"salts";"1";"recommended";"100";"0 – 200";"<1";"11";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Polypropylene (PP)";"";"ammonium carbonate";"saturated";"506-87-6";"CH8N2O3";"salts";"1";"recommended";"100";"60 – 212";"<6";"1";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Polyvinyl Chloride (PVC)";"";"ammonium carbonate";"";"506-87-6";"CH8N2O3";"salts";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"ammonium carbonate";"";"506-87-6";"CH8N2O3";"salts";"1";"recommended";"100";"175";"";"6";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Polyvinylidene Fluoride (PVDF)";"Kynar";"ammonium carbonate";"";"506-87-6";"CH8N2O3";"salts";"1";"recommended";"100";"70 – 285";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Rubber, Butyl (BR)";"";"ammonium carbonate";"";"506-87-6";"CH8N2O3";"salts";"1";"recommended";">10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Rubber, Natural (NR)";"";"ammonium carbonate";"";"506-87-6";"CH8N2O3";"salts";"1";"recommended";">10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Vinyl Ester Resins";"";"ammonium carbonate";"";"506-87-6";"CH8N2O3";"salts";"1";"recommended";">10";"60 – 150";"";"7";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
