sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium phosphate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Glassed Steel";"";"sodium phosphate";"";"salts";"2";"questionable";"10 – 20";"150 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Glassed Steel";"";"sodium phosphate";"";"salts";"3";"not recommended";"10 – 20";"200 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Nylon";"";"sodium phosphate";"";"salts";"1";"recommended";">90";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Polychloroprene";"";"sodium phosphate";"";"salts";"1";"recommended";"70";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Polyesters, Glass Fiber-Reinforced";"";"sodium phosphate";"";"salts";"1";"recommended";"5";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Polyesters, Glass Fiber-Reinforced";"";"sodium phosphate";"";"salts";"1";"recommended";"10 – 50";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Polyesters, Glass Fiber-Reinforced";"";"sodium phosphate";"";"salts";"3";"not recommended";"20";"125 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Polyesters, Glass Fiber-Reinforced";"";"sodium phosphate";"";"salts";"3";"not recommended";"100";"125 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Polyethylene (PE)";"";"sodium phosphate";"";"salts";"1";"recommended";">10";"70 – 150";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Polymethyl Methacrylate (PMMA)";"";"sodium phosphate";"";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Polypropylene (PP)";"";"sodium phosphate";"";"salts";"1";"recommended";"100";"70 – 212";"";"~7 pH, 7pH";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Polyvinyl Chloride (PVC)";"";"sodium phosphate";"";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Polyvinylidene Fluoride (PVDF)";"Kynar";"sodium phosphate";"";"salts";"1";"recommended";"100";"70 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Rubber, Butyl (BR)";"";"sodium phosphate";"saturated";"salts";"1";"recommended";"90";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Rubber, Natural (NR)";"";"sodium phosphate";"";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Vinyl Ester Resins";"";"sodium phosphate";"";"salts";"1";"recommended";"10";"70 – 210";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Wood";"";"sodium phosphate";"";"salts";"1";"recommended; redwood recommended ";"10 – 90";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Wood";"";"sodium phosphate";"";"salts";"3";"not recommended";"10 – 90";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
