sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium ferricyanide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Nickel Cast Iron (15-35Ni)";"sodium ferricyanide";"5 – 45";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Nickel Cast Iron (15-35Ni)";"sodium ferricyanide";"100";"25 – 75";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Nickel-Copper (400)";"sodium ferricyanide";"5 – 45";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Ni-Cr-Fe Alloy (600/ 690)";"sodium ferricyanide";"5 – 45";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Ni-Mo Alloy (Ni-30Mo; B-2)";"sodium ferricyanide";"5 – 45";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Silicon Cast Iron (14Si)";"sodium ferricyanide";"5 – 35";"52 – 237";"<20";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Silicon Cast Iron (14Si)";"sodium ferricyanide";"35 – 45";"97 – 237";"<20";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Silicon Cast Iron (14Si)";"sodium ferricyanide";"45 – 55";"142 – 237";"<20";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Silicon Cast Iron (14Si)";"sodium ferricyanide";"55 – 75";"187 – 237";"<20";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Steels, Carbon/ Low Alloy";"sodium ferricyanide";"5 – 45";"25 – 175";"20 – 50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Steels, Carbon/ Low Alloy";"sodium ferricyanide";"5 – 45";"175 – 225";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
