sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Acetic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Cast Iron, Gray/ Ductile";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"5 – 15";"25 – 75";">50";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Cast Iron, Gray/ Ductile";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"100";"25 – 75";">50";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Copper/ Bronze/ Low Brass";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"5 – 85";"25 – 75";">50";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Copper/ Bronze/ Low Brass";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"100";"25 – 75";"<20";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Copper-Nickel";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"";"0";"<2";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Cr Stainless Steel (12Cr)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"5 – 15";"25 – 75";"<20";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Cr Stainless Steel (12Cr)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"5 – 15";"75 – 125";">50";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Cr Stainless Steel (12Cr)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";">15";"25 – 75";">50";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Cr Stainless Steel (17Cr)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"5 – 15";"25 – 225";"<2";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Cr Stainless Steel (17Cr)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"15 – 55";"25 – 225";"<20";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
