sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ethyl alcohol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">5";"25 – 225";"<2";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Nickel (200)";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">15";"25 – 225";"<2";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Nickel Cast Iron (15-35Ni)";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">5";"25 – 225";"<2";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Nickel-Copper (400)";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">5";"25 – 225";"<2";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Ni-Cr-Fe Alloy (600/ 690)";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">5";"25 – 225";"<2";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Ni-Mo Alloy (Ni-30Mo; B-2)";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">5";"25 – 225";"<2";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Silicon Cast Iron (14Si)";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">5";"52 – 237";"<2";"with sulfuric acid";"208,218";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Silver";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">5";"25 – 225";"<2";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Steels, Carbon/ Low Alloy";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">5";"25 – 225";"<2";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Superferritic Stainless Steel (26-1)";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">5";"25 – 225";"<2";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Tantalum";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">5";"25 – 225";"<2";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Titanium, Unalloyed";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">1";"0 – 225";"<2";"";"173,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Zirconium";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">5";"25 – 225";"<2";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
