sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Chlorosulfonic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Copper-Nickel";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"5 – 15";"25 – 75";">50";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Copper-Nickel";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"85 – 95";"25 – 75";">50";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Cr Stainless Steel (12Cr)";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"pitting";"5 – 15";"25 – 75";">50";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Cr Stainless Steel (12Cr)";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"85 – 95";"25 – 75";">50";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Cr Stainless Steel (17Cr)";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"pitting";"5 – 15";"25 – 75";">50";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Cr Stainless Steel (17Cr)";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"85 – 95";"25 – 75";">50";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Gold/ Platinum";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"100";"25 – 325";"<2";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Lead";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"5 – 15";"25 – 75";"<2";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Lead";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";">85";"25 – 75";"20 – 50";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"5 – 15";"25 – 75";"<20";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
