sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Nitrosyl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"5 – 15";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"5 – 45";"25 – 125";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"35 – 45";"175 – 225";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";">45";"125 – 175";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"55 – 65";"75 – 125";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"55 – 65";"125 – 225";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"5 – 15";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"5 – 45";"25 – 125";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"35 – 45";"175 – 225";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";">45";"125 – 175";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"55 – 65";"75 – 125";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"55 – 65";"125 – 225";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"5 – 15";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"5 – 45";"25 – 125";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"35 – 45";"175 – 225";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";">45";"125 – 175";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"55 – 65";"75 – 125";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"55 – 65";"125 – 225";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Nickel (200)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";">5";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Nickel Cast Iron (15-35Ni)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"85 – 95";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Nickel-Copper (400)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";">5";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
