sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hydrogen sulfide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Ni-Mo Alloy (Ni-30Mo; B-2)";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"";"100";"25 – 325";"<20";"";"64,150,219,223";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Niobium (Columbium)";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"";"100";"0 – 212";"<2";"";"64,150,220,223";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Silicon Cast Iron (14Si)";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"";"100";"52 – 190";"<20";"";"64,150,218,223";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Silicon Cast Iron (14Si)";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"";"100";"190 – 237";"20 – 50";"";"64,150,218,223";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Silver";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"";"100";"25 – 75";">50";"";"64,150,219,223";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Steels, Carbon/ Low Alloy";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"hazardous!";"100";"25 – 125";"<2";"";"64,150,219,220,223";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Steels, Carbon/ Low Alloy";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"possible hazard";"100";"125 – 475";"20 – 50";"";"64,150,219,220,223";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Tantalum";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"";"100";"25 – 225";"<2";"";"64,150,219,223";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Titanium, Unalloyed";"hydrogen sulfide";"wet or dry";"7783-06-04";"H2S";"gases";"";"4";"392";"<2";"";"64,150,180,219,220,223";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Titanium, Unalloyed";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"";"100";"25 – 225";"<2";"also wet at 20°C (68°F)";"64,150,180,219,220,223";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
