sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Bornyl acetate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Lead";"bornyl acetate";"1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol acetate, endo";"76-49-3";"C12H20O2";"esters";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"bornyl acetate";"1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol acetate, endo";"76-49-3";"C12H20O2";"esters";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"bornyl acetate";"1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol acetate, endo";"76-49-3";"C12H20O2";"esters";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"bornyl acetate";"1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol acetate, endo";"76-49-3";"C12H20O2";"esters";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"bornyl acetate";"1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol acetate, endo";"76-49-3";"C12H20O2";"esters";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"bornyl acetate";"1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol acetate, endo";"76-49-3";"C12H20O2";"esters";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Nickel (200)";"bornyl acetate";"1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol acetate, endo";"76-49-3";"C12H20O2";"esters";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Nickel-Copper (400)";"bornyl acetate";"1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol acetate, endo";"76-49-3";"C12H20O2";"esters";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Ni-Cr-Fe Alloy (600/ 690)";"bornyl acetate";"1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol acetate, endo";"76-49-3";"C12H20O2";"esters";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Ni-Mo Alloy (Ni-30Mo; B-2)";"bornyl acetate";"1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol acetate, endo";"76-49-3";"C12H20O2";"esters";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
