sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium carbonate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"25 – 35";"25 – 175";"<2";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"25 – 35";"175 – 225";"<20";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"35 – 45";"175 – 225";"<2";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"35 – 55";"25 – 175";"<20";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"45 – 55";"175 – 225";"<20";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"5 – 25";"25 – 225";"<20";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"25 – 35";"25 – 175";"<2";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"25 – 35";"175 – 225";"<20";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"35 – 45";"175 – 225";"<2";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"35 – 55";"25 – 175";"<20";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"45 – 55";"175 – 225";"<20";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"5 – 25";"25 – 225";"<20";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"25 – 35";"25 – 175";"<2";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"25 – 35";"175 – 225";"<20";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"35 – 45";"175 – 225";"<2";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"35 – 55";"25 – 175";"<20";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"45 – 55";"175 – 225";"<20";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Nickel (200)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"severe corrosion with oxygen ingress";"5 – 15";"25 – 75";">50";"9,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Nickel Cast Iron (15-35Ni)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"5 – 45";"25 – 225";"<20";"9,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
