sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Isopropyl alcohol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"isopropyl alcohol";"2-propanol";"67-63-0";"C3H8O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"isopropyl alcohol";"2-propanol";"67-63-0";"C3H8O";"alcohols";"";"5 – 15";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"isopropyl alcohol";"2-propanol";"67-63-0";"C3H8O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"isopropyl alcohol";"2-propanol";"67-63-0";"C3H8O";"alcohols";"";"5 – 15";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"isopropyl alcohol";"2-propanol";"67-63-0";"C3H8O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"isopropyl alcohol";"2-propanol";"67-63-0";"C3H8O";"alcohols";"";"5 – 15";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"isopropyl alcohol";"2-propanol";"67-63-0";"C3H8O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"isopropyl alcohol";"2-propanol";"67-63-0";"C3H8O";"alcohols";"";"5 – 15";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"isopropyl alcohol";"2-propanol";"67-63-0";"C3H8O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Nickel (200)";"isopropyl alcohol";"2-propanol";"67-63-0";"C3H8O";"alcohols";"";">85";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Nickel (200)";"isopropyl alcohol";"2-propanol";"67-63-0";"C3H8O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Nickel Cast Iron (15-35Ni)";"isopropyl alcohol";"2-propanol";"67-63-0";"C3H8O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Nickel-Copper (400)";"isopropyl alcohol";"2-propanol";"67-63-0";"C3H8O";"alcohols";"";">85";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Nickel-Copper (400)";"isopropyl alcohol";"2-propanol";"67-63-0";"C3H8O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Ni-Cr-Fe Alloy (600/ 690)";"isopropyl alcohol";"2-propanol";"67-63-0";"C3H8O";"alcohols";"";">85";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Ni-Cr-Fe Alloy (600/ 690)";"isopropyl alcohol";"2-propanol";"67-63-0";"C3H8O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Ni-Mo Alloy (Ni-30Mo; B-2)";"isopropyl alcohol";"2-propanol";"67-63-0";"C3H8O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Silicon Cast Iron (14Si)";"isopropyl alcohol";"2-propanol";"67-63-0";"C3H8O";"alcohols";"";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Silver";"isopropyl alcohol";"2-propanol";"67-63-0";"C3H8O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Steels, Carbon/ Low Alloy";"isopropyl alcohol";"2-propanol";"67-63-0";"C3H8O";"alcohols";"";"85 – 95";"25 – 125";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Steels, Carbon/ Low Alloy";"isopropyl alcohol";"2-propanol";"67-63-0";"C3H8O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Superferritic Stainless Steel (26-1)";"isopropyl alcohol";"2-propanol";"67-63-0";"C3H8O";"alcohols";"";">85";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Superferritic Stainless Steel (26-1)";"isopropyl alcohol";"2-propanol";"67-63-0";"C3H8O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Tantalum";"isopropyl alcohol";"2-propanol";"67-63-0";"C3H8O";"alcohols";"";">5";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Titanium, Unalloyed";"isopropyl alcohol";"2-propanol";"67-63-0";"C3H8O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Zirconium";"isopropyl alcohol";"2-propanol";"67-63-0";"C3H8O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
