sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Pyridine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper-Nickel";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";">5";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (12Cr)";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";"100";"175 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cr Stainless Steel (17Cr)";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";"100";"175 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Duplex Stainless Steel (25-6-3)";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";"100";"212";"<2";"192";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Gold/ Platinum";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";">5";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Lead";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";">5";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";">5";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";">5";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";">5";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";">5";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";">5";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Nickel (200)";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";">5";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Nickel Cast Iron (15-35Ni)";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";">5";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Nickel-Copper (400)";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";">5";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Ni-Cr-Fe Alloy (600/ 690)";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";">5";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Ni-Mo Alloy (Ni-30Mo; B-2)";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";">5";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Niobium (Columbium)";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";"any";"0 – 239";"<2";"220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Silicon Cast Iron (14Si)";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";">5";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Silver";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Steels, Carbon/ Low Alloy";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";">5";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Superferritic Stainless Steel (26-1)";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Tantalum";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";">5";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Titanium, Unalloyed";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";">5";"25 – 225";"<2";"192,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Zirconium";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";">5";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
