sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Boric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Polypropylene (PP)";"";"boric acid";"";"inorganic acids";"1";"recommended";"100";"60 – 212";"<6";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Polyvinyl Chloride (PVC)";"";"boric acid";"";"inorganic acids";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"boric acid";"";"inorganic acids";"1";"recommended";"100";"175";"";"6";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Polyvinylidene Fluoride (PVDF)";"Kynar";"boric acid";"";"inorganic acids";"1";"recommended";"100";"70 – 285";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Rubber, Butyl (BR)";"";"boric acid";"";"inorganic acids";"1";"recommended";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Rubber, Butyl (BR)";"";"boric acid";"saturated";"inorganic acids";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Rubber, Natural (NR)";"";"boric acid";"saturated";"inorganic acids";"1";"recommended";"10 – 30";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Styrene Acrylonitrile Copolymer (SAN)";"";"boric acid";"saturated";"inorganic acids";"1";"recommended";"10 – 30";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Styrene Acrylonitrile Copolymer (SAN)";"";"boric acid";"";"inorganic acids";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Vinyl Ester Resins";"";"boric acid";"";"inorganic acids";"1";"recommended";">10";"50 – 210";"";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Wood";"";"boric acid";"";"inorganic acids";"1";"recommended";"10";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
