sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium sulfite";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"41";"Polyvinyl Chloride (PVC)";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"42";"Polyvinylidene Fluoride (PVDF)";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"1";"recommended";"100";"70 – 275";"";"";"1, 23";"";"";"";"";"";"";"";"";"";"";""
"43";"Rubber, Natural (NR)";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"44";"Rubber, Natural (NR)";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"1";"recommended";"30";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"45";"Rubber, Natural (NR)";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"3";"not recommended";"30";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"46";"Styrene Acrylonitrile Copolymer (SAN)";"";"sodium sulfite";"saturated";"7757-83-7";"Na2O3S";"salts";"1";"recommended";"10";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"47";"Styrene Acrylonitrile Copolymer (SAN)";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"1";"recommended";"30";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"48";"Vinyl Ester Resins";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"1";"recommended";"any";"210";"";"";"7";"";"";"";"";"";"";"";"";"";"";""
"49";"Wood";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"2";"questionable; swollen; oak fails in 10%; pine, redwood, cypress, or fir";">10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"50";"Wood";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"3";"not recommended";">10";"100 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
