sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Malic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"";"45 – 55";"97 – 147";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"";"5 – 15";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"";"15 – 45";"52 – 147";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"";"45 – 55";"97 – 147";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Brass (>15Zn)";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"severe corrosion with oxygen ingress";"";"0";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Cast Iron, Gray/ Ductile";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"";"5 – 25";"52 – 102";">50";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Copper/ Bronze/ Low Brass";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"severe corrosion with oxygen ingress";"";"0";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Copper-Nickel";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"severe corrosion with oxygen ingress";"";"0";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Nickel (200)";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"severe corrosion with oxygen ingress";"5 – 15";"52 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Nickel-Copper (400)";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"severe corrosion with oxygen ingress";"5 – 15";"52 – 237";"<20";"no air, oxygen";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Nickel-Copper (400)";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"severe corrosion with oxygen ingress";"15 – 25";"52 – 102";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Nickel-Copper (400)";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"severe corrosion with oxygen ingress";"45 – 55";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Ni-Cr-Fe Alloy (600/ 690)";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"";"5 – 15";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Silver";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"";"5 – 15";"187 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Steels, Carbon/ Low Alloy";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"";"5 – 35";"52 – 102";">50";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Tantalum";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"";"5 – 75";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Tantalum";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"";"75 – 80";"52 – 282";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Tantalum";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"";"100";"248 – 327";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Titanium, Unalloyed";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"";"5 – 15";"187 – 237";"<2";"no air, oxygen";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
