sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Calcium chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"35 – 45";"275 – 325";">50";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"40 – 75";"25 – 225";"<20";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"55 – 65";"275 – 325";">50";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"pitting; stress corrosion cracking";"5 – 75";"25 – 125";"<20";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Brass (>15Zn)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"5 – 15";"325 – 375";"<2";"";"25,111,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Brass (>15Zn)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"5 – 65";"25 – 175";"<20";"";"25,111,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Cast Iron, Gray/ Ductile";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"5 – 75";"25 – 175";"<20";"";"25,111,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Cast Iron, Gray/ Ductile";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"25 – 35";"225 – 275";">50";"";"25,111,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Cast Iron, Gray/ Ductile";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"45 – 55";"225 – 275";">50";"";"25,111,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Cast Iron, Gray/ Ductile";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"65 – 75";"225 – 275";">50";"";"25,111,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Copper/ Bronze/ Low Brass";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"5 – 75";"25 – 75";"<2";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Copper/ Bronze/ Low Brass";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"5 – 75";"75 – 175";"<20";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Copper/ Bronze/ Low Brass";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"15 – 25";"225 – 275";"20 – 50";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Copper/ Bronze/ Low Brass";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"35 – 45";"225 – 275";"20 – 50";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Copper/ Bronze/ Low Brass";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"55 – 65";"225 – 275";"20 – 50";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Cr Stainless Steel (12Cr)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"5 – 75";"25 – 75";"<20";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Cr Stainless Steel (12Cr)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"15 – 25";"125 – 175";">50";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Cr Stainless Steel (12Cr)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"45 – 55";"125 – 175";">50";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Cr Stainless Steel (12Cr)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"65 – 75";"125 – 175";">50";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Cr Stainless Steel (17Cr)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"5 – 75";"25 – 175";"<20";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Cr Stainless Steel (17Cr)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"15 – 25";"175 – 225";">50";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Cr Stainless Steel (17Cr)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"45 – 55";"175 – 225";">50";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Cr Stainless Steel (17Cr)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"65 – 75";"175 – 225";">50";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Gold/ Platinum";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"5 – 75";"25 – 225";"<2";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Lead";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"5 – 75";"175 – 225";">50";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Lead";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"55 – 75";"125 – 175";"20 – 50";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"5 – 75";"25 – 225";"<2";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"5 – 75";"25 – 225";"<2";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"5 – 75";"25 – 225";"<2";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"5 – 75";"25 – 225";"<2";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"5 – 75";"25 – 225";"<2";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Nickel (200)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"5 – 45";"75 – 325";"<2";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Nickel (200)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"45 – 55";"75 – 325";"<20";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Nickel (200)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"55 – 65";"275 – 325";"<20";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Nickel (200)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"65 – 75";"175 – 225";"20 – 50";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Nickel Cast Iron (15-35Ni)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"5 – 45";"25 – 75";"<20";"";"25,111,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Nickel-Copper (400)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"5 – 25";"25 – 225";"<2";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Nickel-Copper (400)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"25 – 35";"25 – 275";"<20";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Nickel-Copper (400)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"25 – 55";"225 – 275";"<20";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Nickel-Copper (400)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"55 – 75";"275 – 325";"<20";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
