sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ethylene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (17Cr)";"ethylene";"74-85-1";"C2H4";"olefins";"100";"25 – 500";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Gold/ Platinum";"ethylene";"74-85-1";"C2H4";"olefins";"100";"25 – 500";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Lead";"ethylene";"74-85-1";"C2H4";"olefins";"100";"25 – 500";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"ethylene";"74-85-1";"C2H4";"olefins";"100";"25 – 500";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ethylene";"74-85-1";"C2H4";"olefins";"100";"25 – 500";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"ethylene";"74-85-1";"C2H4";"olefins";"100";"25 – 500";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ethylene";"74-85-1";"C2H4";"olefins";"100";"25 – 500";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ethylene";"74-85-1";"C2H4";"olefins";"100";"25 – 500";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Nickel (200)";"ethylene";"74-85-1";"C2H4";"olefins";"100";"25 – 500";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Nickel Cast Iron (15-35Ni)";"ethylene";"74-85-1";"C2H4";"olefins";"100";"25 – 500";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Nickel-Copper (400)";"ethylene";"74-85-1";"C2H4";"olefins";"100";"25 – 500";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Ni-Cr-Fe Alloy (600/ 690)";"ethylene";"74-85-1";"C2H4";"olefins";"100";"25 – 500";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Ni-Mo Alloy (Ni-30Mo; B-2)";"ethylene";"74-85-1";"C2H4";"olefins";"100";"25 – 500";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Silicon Cast Iron (14Si)";"ethylene";"74-85-1";"C2H4";"olefins";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Silver";"ethylene";"74-85-1";"C2H4";"olefins";"100";"25 – 500";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Steels, Carbon/ Low Alloy";"ethylene";"74-85-1";"C2H4";"olefins";"100";"25 – 500";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Superferritic Stainless Steel (26-1)";"ethylene";"74-85-1";"C2H4";"olefins";"100";"25 – 500";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Tantalum";"ethylene";"74-85-1";"C2H4";"olefins";"100";"25 – 500";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
