sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Glassed Steel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Glassed Steel";"hydrochloric acid";"hydrogen chloride";"";"7647-01-0";"ClH";"inorganic acids";"2";"questionable";"30 – 40";"290 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Glassed Steel";"magnesium nitrate";"";"";"10377-60-3";"MgN2O6";"salts";"1";"recommended; questionable ";">10";"50 – 250";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Glassed Steel";"magnesium sulfate";"";"";"7487-88-9";"MgO4S";"salts";"1";"recommended; questionable ";">10";"50 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Glassed Steel";"methyl alcohol";"methanol";"";"67-56-1";"CH4O";"alcohols";"1";"recommended; questionable ";">10";"50 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Glassed Steel";"methyl chloride";"chloromethane";"";"74-87-3";"CH3Cl";"alkyl halides";"1";"recommended; questionable ";">10";"50 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Glassed Steel";"nitric acid";"";"";"7697-37-2";"HNO3";"inorganic acids";"2";"questionable";"10 – 50";"275 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Glassed Steel";"nitric acid";"";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"10 – 70";"50 – 250";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Glassed Steel";"nitric acid";"";"";"7697-37-2";"HNO3";"inorganic acids";"2";"questionable";"20 – 40";"260 – 275";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Glassed Steel";"nitric acid";"";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"70";"50 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Glassed Steel";"nitrobenzene";"";"";"98-95-3";"C6H5NO2";"aromatics";"1";"recommended; questionable ";">10";"50 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Glassed Steel";"nitrohydrochloric acid";"";"";"";"";"inorganic acids";"1";"recommended; questionable ";">10";"50 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Glassed Steel";"phenol";"hydroxybenzene";"";"108-95-2";"C6H6O";"phenols";"1";"recommended; questionable ";">10";"50 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Glassed Steel";"phosphoric acid";"orthophosphoric acid";"";"7664-38-2";"H3O4P";"inorganic acids";"1";"recommended";"10 – 60";"50 – 250";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Glassed Steel";"phosphoric acid";"orthophosphoric acid";"";"7664-38-2";"H3O4P";"inorganic acids";"1";"recommended";"70 – 80";"175 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Glassed Steel";"phosphoric acid";"orthophosphoric acid";"";"7664-38-2";"H3O4P";"inorganic acids";"2";"questionable";"70 – 80";"212 – 250";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Glassed Steel";"phosphoric acid";"orthophosphoric acid";"";"7664-38-2";"H3O4P";"inorganic acids";"1";"recommended";">70";"50 – 175";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Glassed Steel";"sodium carbonate";"soda ash";"";"497-19-8";"CNa2O3";"salts";"2";"questionable";"10";"195 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Glassed Steel";"sodium carbonate";"soda ash";"";"497-19-8";"CNa2O3";"salts";"1";"recommended; ~60-120°C (140-248°F), 0.5 to 1% recommended";"10 – 20";"50 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Glassed Steel";"sodium carbonate";"soda ash";"";"497-19-8";"CNa2O3";"salts";"2";"questionable";"10 – 20";"150 – 195";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Glassed Steel";"sodium chloride";"";"";"7647-14-5";"ClNa";"salts";"1";"recommended; questionable ";">10";"50 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Glassed Steel";"sodium fluoride";"";"";"7681-49-4";"FNa";"salts";"3";"not recommended";"any";"0 – 250";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Glassed Steel";"sodium hydroxide";"caustic soda";"";"1310-73-2";"HNaO";"bases";"1";"recommended; recommended ~ 0.5%, ";"10 – 50";"32 – 145";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
