sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hydrogen chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper/ Bronze/ Low Brass";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"125 – 175";"<20";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Copper/ Bronze/ Low Brass";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"175 – 225";"20 – 50";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Copper/ Bronze/ Low Brass";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"275 – 425";">50";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Copper-Nickel";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"25 – 275";"<2";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Copper-Nickel";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"275 – 375";"<20";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Copper-Nickel";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"375 – 425";"20 – 50";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Gold/ Platinum";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"25 – 500";"<2";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Lead";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"25 – 75";"<20";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Lead";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"175 – 225";">50";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"25 – 500";"<2";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"25 – 500";"<2";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"25 – 500";"<2";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"25 – 500";"<2";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"25 – 500";"<2";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Nickel (200)";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"25 – 500";"<2";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Nickel Cast Iron (15-35Ni)";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"25 – 325";"<2";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Nickel Cast Iron (15-35Ni)";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"325 – 375";"<20";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Nickel-Copper (400)";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"25 – 425";"<2";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Nickel-Copper (400)";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"425 – 475";"<20";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Ni-Cr-Fe Alloy (600/ 690)";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"25 – 500";"<2";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Ni-Mo Alloy (Ni-30Mo; B-2)";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"25 – 500";"<2";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Silicon Cast Iron (14Si)";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"52 – 370";"20 – 50";"low FeCl2";"62,142,210,218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Silicon Cast Iron (14Si)";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"370 – 439";">50";"";"62,142,210,218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Silver";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"75 – 125";"<20";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Silver";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"125 – 175";">50";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Steels, Carbon/ Low Alloy";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"25 – 500";"<2";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Tantalum";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"25 – 500";"<2";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Zirconium";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"25 – 225";"<2";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
