sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Chlorine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"chlorine";"7782-50-5";"Cl2";"";"pitting; stress corrosion cracking";"75 – 95";"25 – 75";">50";"33,144,211,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"chlorine";"7782-50-5";"Cl2";"";"";"100";"25 – 225";"<2";"33,144,211,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"chlorine";"7782-50-5";"Cl2";"";"pitting; stress corrosion cracking";"75 – 95";"25 – 75";">50";"33,144,211,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"chlorine";"7782-50-5";"Cl2";"";"";"100";"25 – 225";"<2";"33,144,211,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Brass (>15Zn)";"chlorine";"7782-50-5";"Cl2";"";"";">45";"25 – 75";">50";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Cast Iron, Gray/ Ductile";"chlorine";"7782-50-5";"Cl2";"";"";"85 – 95";"25 – 75";">50";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Cast Iron, Gray/ Ductile";"chlorine";"7782-50-5";"Cl2";"";"";"100";"25 – 75";"<2";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Cast Iron, Gray/ Ductile";"chlorine";"7782-50-5";"Cl2";"";"";"100";"75 – 125";"<20";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Cast Iron, Gray/ Ductile";"chlorine";"7782-50-5";"Cl2";"";"";"100";"125 – 175";"20 – 50";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Cast Iron, Gray/ Ductile";"chlorine";"7782-50-5";"Cl2";"";"";"100";"225 – 275";">50";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Cast Iron, Gray/ Ductile";"chlorine";"7782-50-5";"Cl2";"";"";"100";"325 – 375";">50";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Cast Iron, Gray/ Ductile";"chlorine";"7782-50-5";"Cl2";"";"";"100";"475 – 500";">50";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Copper/ Bronze/ Low Brass";"chlorine";"7782-50-5";"Cl2";"";"";"65 – 75";"225 – 275";">50";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Copper/ Bronze/ Low Brass";"chlorine";"7782-50-5";"Cl2";"";"";"65 – 75";"325 – 425";">50";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Copper/ Bronze/ Low Brass";"chlorine";"7782-50-5";"Cl2";"";"";"85 – 95";"25 – 75";">50";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Copper/ Bronze/ Low Brass";"chlorine";"7782-50-5";"Cl2";"";"";"85 – 95";"225 – 275";">50";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Copper/ Bronze/ Low Brass";"chlorine";"7782-50-5";"Cl2";"";"";"100";"25 – 425";"<20";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Copper-Nickel";"chlorine";"7782-50-5";"Cl2";"";"";"100";"25 – 225";"<2";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Gold/ Platinum";"chlorine";"7782-50-5";"Cl2";"";"";"85 – 95";"25 – 75";">50";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Gold/ Platinum";"chlorine";"7782-50-5";"Cl2";"";"";"100";"25 – 75";"<20";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Gold/ Platinum";"chlorine";"7782-50-5";"Cl2";"";"";"100";"225 – 275";"20 – 50";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Gold/ Platinum";"chlorine";"7782-50-5";"Cl2";"";"";"100";"275 – 425";">50";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Lead";"chlorine";"7782-50-5";"Cl2";"";"";"65 – 75";"25 – 225";">50";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Lead";"chlorine";"7782-50-5";"Cl2";"";"";"65 – 75";"225 – 325";"<20";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Lead";"chlorine";"7782-50-5";"Cl2";"";"";"85 – 95";"25 – 225";">50";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Lead";"chlorine";"7782-50-5";"Cl2";"";"";">85";"225 – 325";"<20";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Lead";"chlorine";"7782-50-5";"Cl2";"";"";"100";"25 – 325";"<20";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"chlorine";"7782-50-5";"Cl2";"";"";"5 – 15";"25 – 125";">50";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"chlorine";"7782-50-5";"Cl2";"";"";"75 – 85";"25 – 75";"<20";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"chlorine";"7782-50-5";"Cl2";"";"";"85 – 95";"75 – 175";"<20";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"chlorine";"7782-50-5";"Cl2";"";"";"85 – 95";"175 – 225";">50";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"chlorine";"7782-50-5";"Cl2";"";"";">85";"25 – 75";"<2";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"chlorine";"7782-50-5";"Cl2";"";"";"100";"25 – 425";"<2";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"chlorine";"7782-50-5";"Cl2";"";"";"5 – 15";"25 – 125";">50";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"chlorine";"7782-50-5";"Cl2";"";"";"75 – 85";"25 – 75";"<20";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"chlorine";"7782-50-5";"Cl2";"";"";"85 – 95";"75 – 175";"<20";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"chlorine";"7782-50-5";"Cl2";"";"";"85 – 95";"175 – 225";">50";"33,144,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
