sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Heptachlor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (12Cr)";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (17Cr)";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Gold/ Platinum";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Lead";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Nickel (200)";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Nickel Cast Iron (15-35Ni)";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Nickel-Copper (400)";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Ni-Cr-Fe Alloy (600/ 690)";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Ni-Mo Alloy (Ni-30Mo; B-2)";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Silicon Cast Iron (14Si)";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Silver";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Steels, Carbon/ Low Alloy";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Superferritic Stainless Steel (26-1)";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Tantalum";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Titanium, Unalloyed";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Zirconium";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
