sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Polyvinyl Chloride (PVC)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"23";"Polyvinyl Chloride (PVC)";"ammonia";"";"";"7664-41-7";"H3N";"bases";"3";"not recommended";"100";"0 – 32";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"24";"Polyvinyl Chloride (PVC)";"ammonia";"";"";"7664-41-7";"H3N";"bases";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"25";"Polyvinyl Chloride (PVC)";"ammonium acetate";"";"";"631-61-8";"C2H7NO2";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"26";"Polyvinyl Chloride (PVC)";"ammonium carbonate";"";"";"506-87-6";"CH8N2O3";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"27";"Polyvinyl Chloride (PVC)";"ammonium chloride";"sal ammoniac";"";"12125-02-9";"ClH4N";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"28";"Polyvinyl Chloride (PVC)";"ammonium dichromate";"ammonium bichromate";"";"7789-09-05";"Cr2H8N2O7";"salts";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"29";"Polyvinyl Chloride (PVC)";"ammonium fluoride";"";"";"12125-01-8";"FH4N";"salts";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"30";"Polyvinyl Chloride (PVC)";"ammonium fluoride";"";"";"12125-01-8";"FH4N";"salts";"3";"not recommended";"20";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"31";"Polyvinyl Chloride (PVC)";"ammonium fluoride";"";"";"12125-01-8";"FH4N";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"32";"Polyvinyl Chloride (PVC)";"ammonium hydroxide";"ammonia solution";"";"1336-21-6";"H5NO";"bases";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"33";"Polyvinyl Chloride (PVC)";"ammonium hydroxide";"ammonia solution";"";"1336-21-6";"H5NO";"bases";"1";"recommended";"30";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"34";"Polyvinyl Chloride (PVC)";"ammonium hydroxide";"ammonia solution";"";"1336-21-6";"H5NO";"bases";"1";"recommended; discolored";"30";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"35";"Polyvinyl Chloride (PVC)";"ammonium nitrate";"";"";"6484-52-2";"H4N2O3";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"36";"Polyvinyl Chloride (PVC)";"ammonium phosphate";"";"";"";"";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"37";"Polyvinyl Chloride (PVC)";"ammonium sulfate";"";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"38";"Polyvinyl Chloride (PVC)";"ammonium sulfide";"";"";"12135-76-1";"H8N2S";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"39";"Polyvinyl Chloride (PVC)";"ammonium thiocyanate";"ammonium rhodanide";"";"1762-95-4";"CH4N2S";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"40";"Polyvinyl Chloride (PVC)";"amyl acetate";"pentyl acetate";"";"628-63-7";"C7H14O2";"esters";"3";"not recommended; swollen";"100";"70 – 135";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"41";"Polyvinyl Chloride (PVC)";"amyl acetate";"pentyl acetate";"";"628-63-7";"C7H14O2";"esters";"3";"not recommended; disintegrated";"100";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"42";"Polyvinyl Chloride (PVC)";"amyl alcohol";"1-pentanol";"";"71-41-0";"C5H12O";"alcohols";"2";"questionable";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"43";"Polyvinyl Chloride (PVC)";"amyl alcohol";"1-pentanol";"";"71-41-0";"C5H12O";"alcohols";"3";"not recommended";"100";"80 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"44";"Polyvinyl Chloride (PVC)";"amyl alcohol";"1-pentanol";"";"71-41-0";"C5H12O";"alcohols";"3";"not recommended; discolored";"100";"125 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"45";"Polyvinyl Chloride (PVC)";"amyl chloride";"1-chloropentane";"";"543-59-9";"C5H11Cl";"alkyl halides";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"46";"Polyvinyl Chloride (PVC)";"aniline";"benzenamine";"";"62-53-3";"C6H7N";"amines";"3";"not recommended";"100";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"47";"Polyvinyl Chloride (PVC)";"aniline";"benzenamine";"";"62-53-3";"C6H7N";"amines";"3";"not recommended; weight gain ";"100";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"48";"Polyvinyl Chloride (PVC)";"aniline hydrochloride";"benzenamine hydrochloride";"";"142-04-1";"C6H8ClN";"amino salts";"2";"questionable; discolored, softened";"10";"125 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"49";"Polyvinyl Chloride (PVC)";"aniline hydrochloride";"benzenamine hydrochloride";"";"142-04-1";"C6H8ClN";"amino salts";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"50";"Polyvinyl Chloride (PVC)";"anthraquinone";"9,10-anthracenedione";"";"84-65-1";"C14H8O2";"ketones";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
