sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium bifluoride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper/ Bronze/ Low Brass";"sodium bifluoride";"100";"25 – 75";"<20";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (12Cr)";"sodium bifluoride";"5 – 15";"25 – 75";">50";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cr Stainless Steel (17Cr)";"sodium bifluoride";"5 – 15";"25 – 75";">50";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Gold/ Platinum";"sodium bifluoride";"5 – 15";"25 – 225";"<2";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Gold/ Platinum";"sodium bifluoride";"100";"25 – 225";"<2";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Lead";"sodium bifluoride";"5 – 15";"25 – 225";"<20";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Lead";"sodium bifluoride";"100";"25 – 75";"<20";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"sodium bifluoride";"5 – 15";"125 – 175";">50";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"sodium bifluoride";"5 – 15";"125 – 175";">50";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"sodium bifluoride";"5 – 15";"125 – 175";">50";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"sodium bifluoride";"5 – 15";"125 – 175";">50";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"sodium bifluoride";"5 – 15";"125 – 175";">50";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Nickel (200)";"sodium bifluoride";"5 – 15";"25 – 225";"<20";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Nickel Cast Iron (15-35Ni)";"sodium bifluoride";"5 – 15";"25 – 75";">50";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Nickel Cast Iron (15-35Ni)";"sodium bifluoride";"100";"25 – 75";">50";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Nickel-Copper (400)";"sodium bifluoride";"5 – 45";"25 – 225";"<20";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Nickel-Copper (400)";"sodium bifluoride";"100";"25 – 75";"<20";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Ni-Cr-Fe Alloy (600/ 690)";"sodium bifluoride";"5 – 15";"25 – 225";"<20";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Ni-Mo Alloy (Ni-30Mo; B-2)";"sodium bifluoride";"5 – 15";"25 – 375";"<20";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Silicon Cast Iron (14Si)";"sodium bifluoride";"5 – 15";"52 – 102";">50";"214,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Silicon Cast Iron (14Si)";"sodium bifluoride";"100";"52 – 102";">50";"214,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Silver";"sodium bifluoride";"5 – 15";"25 – 75";"<2";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Steels, Carbon/ Low Alloy";"sodium bifluoride";"5 – 15";"25 – 75";">50";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Steels, Carbon/ Low Alloy";"sodium bifluoride";"100";"25 – 75";">50";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
