sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Benzaldehyde";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"37";"Polyvinyl Chloride (PVC)";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"3";"not recommended; disintegrated; weight gain";">10";"70 – 150";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"38";"Polyvinylidene Fluoride (PVDF)";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"1";"recommended";"100";"60 – 70";"";"";"1, 23";"";"";"";"";"";"";"";"";"";"";""
"39";"Polyvinylidene Fluoride (PVDF)";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"2";"questionable";"100";"70 – 125";"";"";"1, 23";"";"";"";"";"";"";"";"";"";"";""
"40";"Rubber, Butyl (BR)";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"1";"recommended";"0.1";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"41";"Rubber, Natural (NR)";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"2";"questionable";"0.1";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"42";"Rubber, Natural (NR)";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"3";"not recommended; swollen >12 months";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"43";"Rubber, Natural (NR)";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"3";"not recommended; swollen ";"100";"212 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"44";"Wood";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"1";"recommended";"100";"60 – 70";"";"permeable";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
