sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Acetyl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cast Iron, Gray/ Ductile";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"85 – 95";"25 – 75";">50";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cast Iron, Gray/ Ductile";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Copper/ Bronze/ Low Brass";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"5 – 15";"25 – 75";">50";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Copper-Nickel";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"5 – 15";"25 – 75";">50";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Cr Stainless Steel (12Cr)";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"85 – 95";"25 – 75";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Cr Stainless Steel (12Cr)";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"100";"25 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Cr Stainless Steel (17Cr)";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"100";"25 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Gold/ Platinum";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Lead";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Nickel (200)";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Nickel Cast Iron (15-35Ni)";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Nickel-Copper (400)";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Ni-Cr-Fe Alloy (600/ 690)";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Ni-Mo Alloy (Ni-30Mo; B-2)";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Silicon Cast Iron (14Si)";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"100";"52 – 237";"<20";"210,218";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Steels, Carbon/ Low Alloy";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"85 – 95";"25 – 75";">50";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Steels, Carbon/ Low Alloy";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Tantalum";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Titanium, Unalloyed";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Zirconium";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
