sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Glycerol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Copper/ Bronze/ Low Brass";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"100";"375 – 425";"20 – 50";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Copper-Nickel";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"5 – 55";"25 – 225";"<2";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Copper-Nickel";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"5 – 55";"275 – 325";"<2";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Copper-Nickel";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"100";"25 – 75";"<2";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Copper-Nickel";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"100";"125 – 175";"<2";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Copper-Nickel";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"100";"175 – 225";"<20";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Copper-Nickel";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"100";"375 – 425";"<20";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Cr Stainless Steel (12Cr)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"100";"25 – 225";"<2";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Cr Stainless Steel (17Cr)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"100";"25 – 225";"<2";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Duplex Stainless Steel (25-6-3)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"100";"212";"<2";"";"57,177";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Gold/ Platinum";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";">5";"25 – 225";"<2";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Gold/ Platinum";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"100";"25 – 500";"<2";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Lead";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"5 – 15";"25 – 75";"20 – 50";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Lead";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";">85";"25 – 75";"20 – 50";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";">5";"25 – 225";"<2";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"100";"25 – 500";"<2";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";">5";"25 – 225";"<2";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"100";"25 – 500";"<2";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";">5";"25 – 225";"<2";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"100";"25 – 500";"<2";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";">5";"25 – 225";"<2";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
