sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Benzoic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Gold/ Platinum";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"100";"248 – 275";"<2";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Lead";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"5";"25 – 75";">50";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"5";"25 – 225";"<2";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"5";"25 – 225";"<2";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"5";"25 – 225";"<2";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"5";"25 – 225";"<2";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"5";"25 – 225";"<2";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Nickel (200)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"5";"25 – 225";"<20";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Nickel (200)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"100";"248 – 425";"<20";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Nickel-Copper (400)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"5";"25 – 225";"<20";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Nickel-Copper (400)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"100";"248 – 325";"<20";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Nickel-Copper (400)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"100";"425 – 475";"20 – 50";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Ni-Cr-Fe Alloy (600/ 690)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"5";"25 – 225";"<20";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Ni-Mo Alloy (Ni-30Mo; B-2)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"5";"25 – 225";"<2";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Niobium (Columbium)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"5";"0 – 212";"<2";"";"20,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Silicon Cast Iron (14Si)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"5";"52 – 237";"<20";"no air, oxygen";"20,218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Silver";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"5";"25 – 125";"<2";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Silver";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"5";"125 – 225";"<20";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Superferritic Stainless Steel (26-1)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"5";"25 – 225";"<20";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Tantalum";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"5";"25 – 225";"<2";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Tantalum";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"100";"248 – 275";"<2";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Titanium, Unalloyed";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"5";"25 – 225";"<2";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Zirconium";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"5";"25 – 225";"<2";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
