sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Nitric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Alloy 20-25-6Mo (254SMO/ 6XN)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"10";"214";"<2";"boiling point";"71,138,185,216,220,221";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Alloy 20-25-6Mo (254SMO/ 6XN)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"65";"194";"<2";"";"71,138,185,216,220,221";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Alloy 20-25-6Mo (254SMO/ 6XN)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"65";"250";"20 – 50";"boiling point";"71,138,185,216,220,221";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"5";"212";"<2";"boiling point";"71,138,185,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"65";"0 – 250";"<2";"";"71,138,185,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"65";"250";"<2";"boiling point";"71,138,185,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"100";"25 – 125";"<2";"white fuming to 218°C (425°F)";"71,138,185,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"nitric acid";"red fuming";"7697-37-2";"HNO3";"inorganic acids";"";"";"100";"125 – 225";"<20";"";"71,138,185,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Alloy 30-44-5-3W (G-30)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"5";"212";"<2";"boiling point";"71,138,185,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Alloy 30-44-5-3W (G-30)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"65";"0 – 250";"<2";"";"71,138,185,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Alloy 30-44-5-3W (G-30)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"65";"250";"<2";"boiling point";"71,138,185,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Alloy 30-44-5-3W (G-30)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"100";"25 – 125";"<2";"white fuming to 218°C (425°F)";"71,138,185,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Alloy 30-44-5-3W (G-30)";"nitric acid";"red fuming";"7697-37-2";"HNO3";"inorganic acids";"";"";"100";"125 – 225";"<20";"";"71,138,185,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Aluminum Alloy (3003/ 5154)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";">85";"25 – 75";">50";"";"71,138,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Aluminum Alloy (3003/ 5154)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"100";"25 – 225";"<2";"white fuming/red fuming is >50 mpy to 52°C (125°F)";"71,138,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Aluminum Alloy (3003/ 5154)";"nitric acid";"white fuming";"7697-37-2";"HNO3";"inorganic acids";"";"";"100";"225 – 425";"<20";"";"71,138,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"5 – 55";"125 – 225";"<2";"";"71,138,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"5 – 55";"225 – 275";"<20";"";"71,138,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"intergranular attack";"5 – 95";"25 – 125";"<2";"";"71,138,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"55 – 65";"175 – 225";"<20";"";"71,138,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"75 – 85";"125 – 175";"<20";"";"71,138,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"75 – 85";"175 – 225";">50";"";"71,138,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"85 – 95";"125 – 175";">50";"";"71,138,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"100";"25 – 75";"<20";"also white fuming/red fuming is ";"71,138,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"100";"75 – 175";">50";"white fuming to 80°C (175°F)";"71,138,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"100";"175 – 325";">50";"red fuming from 52°C (125°F) to 163°C (325°F)";"71,138,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"5 – 35";"125 – 225";"<2";"";"71,138,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"intergranular attack";"5 – 85";"25 – 125";"<2";"";"71,138,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"15 – 35";"225 – 275";"<20";"";"71,138,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"45 – 55";"125 – 175";"<2";"";"71,138,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"55 – 85";"175 – 225";"<20";"";"71,138,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"75 – 85";"125 – 175";"<20";"";"71,138,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"85 – 95";"25 – 75";"<2";"";"71,138,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"85 – 95";"125 – 175";">50";"";"71,138,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"100";"25 – 75";"<20";"also white fuming/red fuming is ";"71,138,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"100";"125 – 325";">50";"red fuming/white fuming from 52°C (125°F) to 80°C (175°F)";"71,138,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Brass (>15Zn)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";">5";"25 – 75";">50";"";"71,138,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Brass (>15Zn)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"100";"25 – 75";">50";"at 100% also white fuming/red fuming is ";"71,138,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Brass (>15Zn)";"nitric acid";"red fuming";"7697-37-2";"HNO3";"inorganic acids";"";"";"100";"125 – 325";">50";"";"71,138,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
