sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Calcium hypochlorite";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Glass, Chemical";"";"calcium hypochlorite";"";"salts";"1";"recommended";"10 – 90";"70 – 212";"";"piping";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Nylon";"";"calcium hypochlorite";"";"salts";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Phenolic Resins, Asbestos-Reinforced";"";"calcium hypochlorite";"";"salts";"3";"not recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Polychloroprene";"";"calcium hypochlorite";"";"salts";"2";"questionable";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Polyesters, Glass Fiber-Reinforced";"";"calcium hypochlorite";"";"salts";"1";"recommended";"10";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Polyesters, Glass Fiber-Reinforced";"";"calcium hypochlorite";"";"salts";"1";"recommended";"10 – 20";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Polyethylene (PE)";"";"calcium hypochlorite";"";"salts";"2";"questionable";"10";"60 – 70";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Polyethylene (PE)";"";"calcium hypochlorite";"";"salts";"3";"not recommended";"10";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Polyethylene (PE)";"";"calcium hypochlorite";"";"salts";"1";"recommended";"100";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Polymethyl Methacrylate (PMMA)";"";"calcium hypochlorite";"";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Polypropylene (PP)";"";"calcium hypochlorite";"";"salts";"1";"recommended";"20";"60 – 70";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Polypropylene (PP)";"";"calcium hypochlorite";"";"salts";"2";"questionable";"20";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Polypropylene (PP)";"";"calcium hypochlorite";"";"salts";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Polyvinyl Chloride (PVC)";"";"calcium hypochlorite";"";"salts";"1";"recommended";"100";"70 – 80";"";"5.5 to 12.5% active chlorine";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Polyvinyl Chloride (PVC)";"";"calcium hypochlorite";"";"salts";"2";"questionable";"100";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Polyvinylidene Fluoride (PVDF)";"Kynar";"calcium hypochlorite";"";"salts";"1";"recommended";"100";"60 – 190";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Polyvinylidene Fluoride (PVDF)";"";"calcium hypochlorite";"";"salts";"2";"questionable";"100";"190 – 225";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Polyvinylidene Fluoride (PVDF)";"";"calcium hypochlorite";"";"salts";"3";"not recommended";"100";"225 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Rubber, Butyl (BR)";"";"calcium hypochlorite";"";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Rubber, Natural (NR)";"";"calcium hypochlorite";"";"salts";"3";"not recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Styrene Acrylonitrile Copolymer (SAN)";"";"calcium hypochlorite";"";"salts";"1";"recommended";"100";"70 – 125";"";"70% chlorine";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Vinyl Ester Resins";"";"calcium hypochlorite";"";"salts";"1";"recommended";"5 – 20";"70 – 160";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Wood";"";"calcium hypochlorite";"";"salts";"1";"recommended";"10 – 90";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Wood";"";"calcium hypochlorite";"";"salts";"3";"not recommended";"10 – 90";"100 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
