sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Arsenic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"100";"175 – 225";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"5 – 35";"75 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"5 – 45";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"65 – 85";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Brass (>15Zn)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"5 – 15";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Cast Iron, Gray/ Ductile";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"5 – 15";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Cast Iron, Gray/ Ductile";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"45 – 55";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Cast Iron, Gray/ Ductile";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"65 – 75";"175 – 225";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Cast Iron, Gray/ Ductile";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"100";"125 – 175";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Copper/ Bronze/ Low Brass";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"5 – 15";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Copper/ Bronze/ Low Brass";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"85 – 95";"175 – 225";"20 – 50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Copper-Nickel";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"5 – 15";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Gold/ Platinum";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"5 – 45";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Gold/ Platinum";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Lead";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"5 – 15";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Lead";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Lead";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"100";"175 – 225";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"5 – 15";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"5 – 15";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"5 – 15";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"5 – 15";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
