sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Carbonic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Silicon Cast Iron (14Si)";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 95";"52 – 237";"<2";"28,121,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Silver";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"25 – 75";"<2";"28,121,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Steels, Carbon/ Low Alloy";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"pitting";"5 – 15";"25 – 75";">50";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Superferritic Stainless Steel (26-1)";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"25 – 225";"<2";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Tantalum";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"25 – 225";"<2";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Titanium, Unalloyed";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"25 – 225";"<2";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Zirconium";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"25 – 225";"<2";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
