sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hydrocyanic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"";"";"100";"75 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"";"";"100";"25 – 75";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"";"";"100";"75 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Nickel (200)";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"severe corrosion with oxygen ingress";"";"5 – 15";"25 – 75";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Nickel (200)";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"severe corrosion with oxygen ingress";"";"100";"25 – 225";"<20";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Nickel Cast Iron (15-35Ni)";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"";"";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Nickel-Copper (400)";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"severe corrosion with oxygen ingress";"";"5 – 15";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Nickel-Copper (400)";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"severe corrosion with oxygen ingress";"";"85 – 95";"25 – 225";"<20";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
