sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Paraformaldehyde";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Silicon Cast Iron (14Si)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"5 – 30";"52 – 372";"<2";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Silicon Cast Iron (14Si)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"100";"320 – 372";"<2";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Silver";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"5 – 30";"25 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Silver";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"100";"320 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Steels, Carbon/ Low Alloy";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"5 – 30";"25 – 325";"20 – 50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Steels, Carbon/ Low Alloy";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"5 – 30";"325 – 375";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Steels, Carbon/ Low Alloy";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"100";"320 – 375";"20 – 50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Superferritic Stainless Steel (26-1)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"5 – 30";"25 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
