sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Phthalic anhydride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Nickel-Copper (400)";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"375 – 425";"20 – 50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Ni-Cr-Fe Alloy (600/ 690)";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"270 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Ni-Cr-Fe Alloy (600/ 690)";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"375 – 425";"20 – 50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Ni-Mo Alloy (Ni-30Mo; B-2)";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"270 – 475";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Silicon Cast Iron (14Si)";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"270 – 597";"<20";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Silver";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"270 – 475";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Steels, Carbon/ Low Alloy";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"270 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Steels, Carbon/ Low Alloy";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"375 – 425";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Superferritic Stainless Steel (26-1)";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"270 – 325";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
