sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Glycerol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Fluororubber";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Fluororubber";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";"100";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Glass, Chemical";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";"10 – 90";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Nylon";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Phenolic Resins, Asbestos-Reinforced";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Phenolic Resins, Asbestos-Reinforced";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Polychloroprene";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Polyesters, Glass Fiber-Reinforced";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";"10 – 70";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Polyethylene (PE)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";">10";"70 – 150";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Polymethyl Methacrylate (PMMA)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Polypropylene (PP)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";"100";"70 – 212";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Polysulfone";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";">90";"125 – 175";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Polyvinyl Chloride (PVC)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Polyvinylidene Fluoride (PVDF)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";"100";"70 – 275";"";"";"1, 23";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Rubber, Butyl (BR)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";"10 – 90";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Rubber, Butyl (BR)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"2";"questionable";"10 – 90";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Rubber, Natural (NR)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Rubber, Natural (NR)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"3";"not recommended";">10";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Vinyl Ester Resins";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";">10";"70 – 210";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Wood";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";">10";"70 – 212";"";"also saturated with sodium chloride";"1";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
