sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Carbonyl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"carbonyl chloride";"";"1";"recommended";"5";"250 – 300";">12";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"carbonyl chloride";"";"1";"recommended";"5";"250 – 300";">12";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"carbonyl chloride";"";"1";"recommended";"50";"250 – 300";"";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"carbonyl chloride";"";"1";"recommended";"50";"250 – 300";"";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"carbonyl chloride";"";"1";"recommended";">80";"250 – 300";"";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"carbonyl chloride";"";"1";"recommended";">80";"250 – 300";"";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"Teflon FEP";"carbonyl chloride";"";"1";"recommended";"5";"200";"";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"carbonyl chloride";"";"1";"recommended";"50";"200";"";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"carbonyl chloride";"";"1";"recommended";">80";"200";"";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Fluororubber";"";"carbonyl chloride";"liquid";"1";"recommended";"100";"25 – 50";"";"liquid";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Fluororubber";"";"carbonyl chloride";"";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Fluororubber";"";"carbonyl chloride";"";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Glass, Chemical";"";"carbonyl chloride";"";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Phenolic Resins, Asbestos-Reinforced";"";"carbonyl chloride";"";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Polychloroprene";"";"carbonyl chloride";"crystal, powders, solids";"1";"recommended";"100";"25 – 50";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Polychloroprene";"";"carbonyl chloride";"";"1";"recommended";"100";"50 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Polychloroprene";"";"carbonyl chloride";"";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Polyesters, Glass Fiber-Reinforced";"";"carbonyl chloride";"liquid";"3";"not recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Polyethylene (PE)";"";"carbonyl chloride";"liquid";"3";"not recommended";"100";"70 – 150";"";"liquid";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Polypropylene (PP)";"";"carbonyl chloride";"";"3";"not recommended; pressure not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Polyvinyl Chloride (PVC)";"";"carbonyl chloride";"";"3";"not recommended; recommended for gas only";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Rubber, Butyl (BR)";"";"carbonyl chloride";"liquid";"2";"questionable";"100";"60 – 70";"";"liquid";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Rubber, Butyl (BR)";"";"carbonyl chloride";"gas";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Rubber, Natural (NR)";"";"carbonyl chloride";"liquid";"3";"not recommended";"100";"60 – 70";"";"liquid";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Rubber, Natural (NR)";"";"carbonyl chloride";"gas";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Wood";"";"carbonyl chloride";"";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
