sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Benzenesulfonic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Glass, Chemical";"";"benzenesulfonic acid";"";"surfactants & detergents";"1";"recommended";">10";"70 – 392";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Nylon";"";"benzenesulfonic acid";"";"surfactants & detergents";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Phenolic Resins, Asbestos-Reinforced";"";"benzenesulfonic acid";"";"surfactants & detergents";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Polyesters, Glass Fiber-Reinforced";"";"benzenesulfonic acid";"";"surfactants & detergents";"1";"recommended";"20";"70 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Polyesters, Glass Fiber-Reinforced";"";"benzenesulfonic acid";"wet";"surfactants & detergents";"1";"recommended";"100";"60 – 70";"";"with hydrochloric acid";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Polyethylene (PE)";"";"benzenesulfonic acid";"";"surfactants & detergents";"1";"recommended; may stress crack";"10";"60 – 70";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Polyethylene (PE)";"";"benzenesulfonic acid";"";"surfactants & detergents";"1";"recommended";"100";"60 – 150";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"benzenesulfonic acid";"";"surfactants & detergents";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Polypropylene (PP)";"";"benzenesulfonic acid";"";"surfactants & detergents";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Polyvinyl Chloride (PVC)";"";"benzenesulfonic acid";"";"surfactants & detergents";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"benzenesulfonic acid";"";"surfactants & detergents";"1";"recommended";"100";"125";"";"";"6";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Polyvinylidene Fluoride (PVDF)";"Kynar";"benzenesulfonic acid";"";"surfactants & detergents";"1";"recommended";"100";"60 – 100";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Polyvinylidene Fluoride (PVDF)";"";"benzenesulfonic acid";"";"surfactants & detergents";"2";"questionable";"100";"100 – 150";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Polyvinylidene Fluoride (PVDF)";"";"benzenesulfonic acid";"";"surfactants & detergents";"3";"not recommended";"100";"150 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Vinyl Ester Resins";"";"benzenesulfonic acid";"";"surfactants & detergents";"1";"recommended";"50";"70 – 150";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Wood";"";"benzenesulfonic acid";"";"surfactants & detergents";"1";"recommended";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
