sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium aluminate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Duplex Stainless Steel (25-6-3)";"sodium aluminate";"1 – 70";"0 – 392";"<2";"194,212";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"sodium aluminate";"5 – 15";"25 – 75";"<20";"212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"sodium aluminate";"5 – 15";"25 – 75";"<20";"212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"sodium aluminate";"5 – 15";"25 – 75";"<20";"212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"sodium aluminate";"5 – 15";"25 – 75";"<20";"212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"sodium aluminate";"5 – 15";"25 – 75";"<20";"212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Nickel (200)";"sodium aluminate";"5 – 55";"25 – 225";"<20";"212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Nickel-Copper (400)";"sodium aluminate";"5 – 55";"25 – 225";"<2";"212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Ni-Cr-Fe Alloy (600/ 690)";"sodium aluminate";"5 – 55";"25 – 225";"<20";"212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Ni-Mo Alloy (Ni-30Mo; B-2)";"sodium aluminate";"5 – 15";"25 – 75";"<20";"212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Silicon Cast Iron (14Si)";"sodium aluminate";"5 – 15";"52 – 102";">50";"212,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Silver";"sodium aluminate";"5 – 55";"25 – 225";"<20";"212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Steels, Carbon/ Low Alloy";"sodium aluminate";"5 – 45";"25 – 225";"<2";"212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Superferritic Stainless Steel (26-1)";"sodium aluminate";"5 – 45";"25 – 225";"<2";"212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Tantalum";"sodium aluminate";"25 – 35";"25 – 225";"<2";"212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Titanium, Unalloyed";"sodium aluminate";"1 – 70";"0 – 392";"<2";"194,212";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
