sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Propionaldehyde";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"propionaldehyde";"propanal";"123-38-6";"C3H6O";"aldehydes";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"propionaldehyde";"propanal";"123-38-6";"C3H6O";"aldehydes";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"propionaldehyde";"propanal";"123-38-6";"C3H6O";"aldehydes";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Nickel (200)";"propionaldehyde";"propanal";"123-38-6";"C3H6O";"aldehydes";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Nickel Cast Iron (15-35Ni)";"propionaldehyde";"propanal";"123-38-6";"C3H6O";"aldehydes";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Nickel-Copper (400)";"propionaldehyde";"propanal";"123-38-6";"C3H6O";"aldehydes";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Ni-Cr-Fe Alloy (600/ 690)";"propionaldehyde";"propanal";"123-38-6";"C3H6O";"aldehydes";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Ni-Mo Alloy (Ni-30Mo; B-2)";"propionaldehyde";"propanal";"123-38-6";"C3H6O";"aldehydes";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Silicon Cast Iron (14Si)";"propionaldehyde";"propanal";"123-38-6";"C3H6O";"aldehydes";"100";"52 – 147";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Silver";"propionaldehyde";"propanal";"123-38-6";"C3H6O";"aldehydes";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
