sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Precipitation Hardenable Stainless Steel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Precipitation Hardenable Stainless Steel (PH Grade 17-4; S17400)";"sulfuric acid";"oil of vitriol";"7664-93-9";"H2O4S";"inorganic acids";"5";"95";"<20";"";"224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Precipitation Hardenable Stainless Steel (PH Grade 17-4; S17400)";"sulfuric acid";"oil of vitriol";"7664-93-9";"H2O4S";"inorganic acids";"98";"95";"<2";"";"224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Precipitation Hardenable Stainless Steel (PH Grade 17-4; S17400)";"sulfuric acid";"oil of vitriol";"7664-93-9";"H2O4S";"inorganic acids";"98";"176";"<20";"";"224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Precipitation Hardenable Stainless Steel (PH Grade 17-7; S17700)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"<60";"216";"<20";"";"2,140,208,224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Precipitation Hardenable Stainless Steel (PH Grade 17-7; S17700)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"60";"216";"<20";"boiling point";"2,140,208,224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Precipitation Hardenable Stainless Steel (PH Grade 17-7; S17700)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"5 – 10";"176";"<20";"";"224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Precipitation Hardenable Stainless Steel (PH Grade 17-7; S17700)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"25";"221";"<20";"boiling point";"224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Precipitation Hardenable Stainless Steel (PH Grade 17-7; S17700)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"50";"239";">50";"";"224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Precipitation Hardenable Stainless Steel (PH Grade 17-7; S17700)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"65";"252";">50";"";"224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Precipitation Hardenable Stainless Steel (PH Grade 17-7; S17700)";"phosphoric acid";"orthophosphoric acid";"7664-38-2";"H3O4P";"inorganic acids";"<20";"217";"<20";"";"224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Precipitation Hardenable Stainless Steel (PH Grade 17-7; S17700)";"phosphoric acid";"orthophosphoric acid";"7664-38-2";"H3O4P";"inorganic acids";"20";"217";"<20";"boiling point";"224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Precipitation Hardenable Stainless Steel (PH Grade 17-7; S17700)";"phosphoric acid";"orthophosphoric acid";"7664-38-2";"H3O4P";"inorganic acids";"50";"234";"20 – 50";"boiling point";"224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Precipitation Hardenable Stainless Steel (PH Grade 17-7; S17700)";"phosphoric acid";"orthophosphoric acid";"7664-38-2";"H3O4P";"inorganic acids";"70";"257";">50";"boiling point";"224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Precipitation Hardenable Stainless Steel (PH Grade 17-7; S17700)";"sodium hydroxide";"caustic soda";"1310-73-2";"HNaO";"bases";"30";"244";"<20";"boiling point";"87,145,212,224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Precipitation Hardenable Stainless Steel (PH Grade 17-7; S17700)";"sodium hydroxide";"caustic soda";"1310-73-2";"HNaO";"bases";"50";"284";">50";"boiling point";"87,145,212,224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Precipitation Hardenable Stainless Steel (PH Grade 17-7; S17700)";"sulfuric acid";"oil of vitriol";"7664-93-9";"H2O4S";"inorganic acids";"1";"0 – 176";">50";"";"224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Precipitation Hardenable Stainless Steel (PH Grade 17-7; S17700)";"sulfuric acid";"oil of vitriol";"7664-93-9";"H2O4S";"inorganic acids";"5";"95";">50";"";"224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
