sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Lactic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"5 – 75";"25 – 125";"<2";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"5 – 75";"125 – 175";"<20";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"15 – 25";"175 – 225";"<2";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"25 – 75";"175 – 225";"<20";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";">75";"25 – 225";"<20";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Brass (>15Zn)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"severe corrosion with oxygen ingress";"5 – 15";"25 – 75";"20 – 50";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Brass (>15Zn)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"severe corrosion with oxygen ingress";"5 – 15";"175 – 225";">50";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Brass (>15Zn)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"severe corrosion with oxygen ingress";"15 – 35";"125 – 175";">50";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Brass (>15Zn)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"severe corrosion with oxygen ingress";"15 – 45";"25 – 75";">50";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Cast Iron, Gray/ Ductile";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"5 – 35";"25 – 75";">50";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Cast Iron, Gray/ Ductile";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"100";"25 – 75";">50";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
